nodeID,nodeLabel,latitude,longitude,mode,year
0,Jamaica–Van Wyck,-73.81691765329856,40.70255460609732,heavy_rail,1988.0
1,34th Street–Herald Square,-73.98805898497966,40.74941029198902,heavy_rail,1940.0
2,34th Street–Herald Square,-73.98805898497966,40.74941029198902,heavy_rail,1940.0
3,34th Street–Herald Square,-73.98805898497966,40.74941029198902,heavy_rail,1940.0
4,86th Street,-73.95554350327555,40.77952104604188,heavy_rail,1918.0
5,86th Street,-73.95554350327555,40.77952104604188,heavy_rail,1918.0
6,86th Street,-73.95554350327555,40.77952104604188,heavy_rail,1918.0
7,86th Street,-73.95554350327555,40.77952104604188,heavy_rail,1918.0
8,Clifton,-74.07159835824025,40.62179500907751,heavy_rail,1860.0
9,Tompkinsville,-74.07491447030577,40.63689297334793,heavy_rail,1884.0
10,St. George Terminal,-74.07360134037563,40.6439480490298,heavy_rail,1886.0
11,Stapleton,-74.07517709167949,40.62810293732697,heavy_rail,1884.0
12,Dongan Hills,-74.09591968063957,40.58890527459218,heavy_rail,1860.0
13,Jefferson Avenue,-74.10325371732179,40.58358883453582,heavy_rail,1937.0
14,Grant City,-74.10932503272086,40.57917033383302,heavy_rail,1860.0
15,Grasmere,-74.08375384559403,40.603514648944625,heavy_rail,1886.0
16,New Dorp,-74.11721890428096,40.57347806027036,heavy_rail,1860.0
17,Oakwood Heights,-74.12672324176732,40.564830046891075,heavy_rail,1860.0
18,Bay Terrace,-74.13687887683534,40.55641206330597,heavy_rail,1900.0
19,Old Town,-74.08759038331404,40.596261867553004,heavy_rail,1937.0
20,Great Kills,-74.15146506528852,40.55117669512967,heavy_rail,1860.0
21,Eltingville,-74.16500031410071,40.5443553820154,heavy_rail,1860.0
22,Stops rush hours in peak direction only 	Annadale,-74.17800054613947,40.54050835503293,heavy_rail,1860.0
23,Huguenot,-74.19223403132446,40.53323723971562,heavy_rail,1860.0
24,Prince's Bay,-74.2005654671816,40.525294201686506,heavy_rail,1860.0
25,Pleasant Plains,-74.21724397593051,40.522557713466625,heavy_rail,1860.0
26,Richmond Valley,-74.22921041258513,40.51963852826273,heavy_rail,1860.0
27,Arthur Kill,-74.24158014198498,40.51680147288462,heavy_rail,2017.0
28,Tottenville,-74.25248585173654,40.512477907970094,heavy_rail,1860.0
29,81st Street–Museum of Natural History,-73.97172613696648,40.78206316935561,heavy_rail,1932.0
30,34th Street–Herald Square,-73.98805898497966,40.74941029198902,heavy_rail,1940.0
31,81st Street–Museum of Natural History,-73.97172613696648,40.78206316935561,heavy_rail,1932.0
32,34th Street–Herald Square,-73.98805898497966,40.74941029198902,heavy_rail,1940.0
33,21st Street–Queensbridge,-73.94241811615245,40.75396115281373,heavy_rail,1989.0
34,86th Street,-73.95554350327555,40.77952104604188,heavy_rail,1918.0
35,34th Street–Herald Square,-73.98805898497966,40.74941029198902,heavy_rail,1940.0
36,81st Street–Museum of Natural History,-73.97172613696648,40.78206316935561,heavy_rail,1932.0
37,Manitou,-73.9702718930043,41.33272561159592,commuter_rail,1983.0
