,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,Morgan Blvd,-76.8690469555441,38.89332617310757,heavy_rail,2004.0
1,1,McLean,-77.20665960188786,38.926143738880114,heavy_rail,2014.0
2,2,Spring Hill,-77.24126587912525,38.92865809498278,heavy_rail,2014.0
3,3,Greensboro,-77.23268761939241,38.919794526587054,heavy_rail,2014.0
4,4,Tysons Corner,-77.22172159926055,38.920489541059794,heavy_rail,2014.0
5,5,Morgan Blvd,-76.8690469555441,38.89332617310757,heavy_rail,2004.0
6,6,Morgan Blvd,-76.8690469555441,38.89332617310757,None,2004.0
7,7,McLean,-77.20665960188786,38.926143738880114,None,2014.0
8,8,Spring Hill,-77.24126587912525,38.92865809498278,None,2014.0
9,9,Greensboro,-77.23268761939241,38.919794526587054,None,2014.0
10,10,Tysons Corner,-77.22172159926055,38.920489541059794,None,2014.0
