,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,Loyola + Tulane,-90.07464414962038,29.954775066509967,tram,2013.0
1,1,Ursulines St.,-90.05911550353785,29.95952399984928,tram,1988.0
2,2,Dumaine St.,-90.0607915279157,29.957923667651002,tram,1988.0
3,3,Toulouse St.,-90.06278345209466,29.955696084080756,tram,1988.0
4,4,Bienville St.,-90.06373533633268,29.952738430745526,tram,1988.0
5,5,Canal St.,-90.0635673590373,29.950214970490208,tram,1988.0
6,6,Poydras St.,-90.06323829660838,29.948089859220843,tram,1988.0
7,7,Julia St.,-90.06249683750791,29.944118594526074,tram,1988.0
8,8,John Churchill Chase St.,-90.06223008562142,29.94142715010385,tram,1988.0
9,9,French Market Terminal,-90.05598367560009,29.961586384877478,tram,1988.0
10,10,St. Charles + Napoleon,-90.10207463891231,29.926491875814676,tram,1835.0
11,11,St. Charles + Louisiana,-90.09145810453192,29.928252059872932,tram,1835.0
12,12,Canal and Rampart Streets,-90.07310583650893,29.955879354830756,tram,2004.0
13,13,St. Charles + Jackson,-90.08065324682394,29.93408522314911,tram,1835.0
14,14,Canal and Rampart Streets,-90.07310583650893,29.955879354830756,tram,2004.0
15,15,Conti St.,-90.0705757079542,29.958091418833945,tram,2016.0
16,16,Loyola + Tulane,-90.07464414962038,29.954775066509967,tram,2013.0
17,17,Ursulines St.,-90.06562195139922,29.963656612107613,tram,2016.0
18,18,Pauger St.,-90.06029242061204,29.968240573646355,tram,2016.0
19,19,St. Claude/Esplanade,-90.06357993400108,29.965934744869585,tram,2016.0
20,20,French Market Terminal,-90.05598367560009,29.961586384877478,tram,1988.0
21,21,St. Claude/Esplanade,-90.06357993400108,29.965934744869585,tram,2016.0
22,22,St. Charles + Jefferson,-90.11301686550749,29.928534147860802,tram,1835.0
23,23,Canal and Rampart Streets,-90.07310583650893,29.955879354830756,tram,2004.0
24,24,Canal + Carondelet,-90.07017949632072,29.953546415891694,tram,1835.0
25,25,St. Charles + Common,-90.06977636597114,29.952292084700687,tram,1835.0
26,26,St. Charles + Union,-90.07019293324244,29.951110929055886,tram,1835.0
27,27,St. Charles + Poydras,-90.0705673755879,29.949813175656047,tram,1835.0
28,28,St. Charles + Lafayette,-90.07107419653748,29.948131970009996,tram,1835.0
